1000,0.579333
2000,1.11067
3000,1.65867
4000,2.16533
5000,3.92133
6000,4.49633
7000,5.03967
8000,5.664
9000,5.692
10000,6.19867
11000,6.34033
12000,6.97533
13000,7.598
14000,73.678
15000,96.616
16000,10.8663
